Arcade Station|25 Charts|_H
무혼(武魂) 1.5 (Solitary 1.5)|Crazy|https://youtu.be/bzTCfPlIpgs
무혼(武魂) 1.5 (Solitary 1.5)|Nightmare|https://youtu.be/-KzL4DC8tzk
무혼(武魂) 1.5 (Solitary 1.5)|LightMap|
반갑습니다 (Nice To Meet You)|Hard|https://youtu.be/JFkfGXkZIhs
반갑습니다 (Nice To Meet You)|Nightmare|https://youtu.be/V3NOzCuXjTI
반갑습니다 (Nice To Meet You)|LightMap|
아주 오래된 연인들 (Very Old Couples)|Normal|https://youtu.be/HSmcc3WhqjI
아주 오래된 연인들 (Very Old Couples)|Hard|https://youtu.be/HSmcc3WhqjI
아주 오래된 연인들 (Very Old Couples)|Crazy|https://youtu.be/D9lqc8s7MvQ
아주 오래된 연인들 (Very Old Couples)|Freestyle|https://youtu.be/0hZ1wLepNnc
아주 오래된 연인들 (Very Old Couples)|Nightmare|https://youtu.be/t_it61kLZFY
아주 오래된 연인들 (Very Old Couples)|LightMap|
햇살 좋은날 (Shiny Day)|Nightmare|https://youtu.be/SVGuZR_IpBs
햇살 좋은날 (Shiny Day)|LightMap|
후회 (Compunction)|LightMap|
Caprice Of Otada|LightMap|
Energizer|Normal|https://youtu.be/5JfwlnZXMBw
Energizer|Hard|https://youtu.be/5JfwlnZXMBw
Energizer|Crazy|https://youtu.be/HfmqltXA0lE
Energizer|Freestyle|https://youtu.be/HMH_7bJvDCg
Energizer|Nightmare|https://youtu.be/J_U9u7MvWD0
Energizer|LightMap|
Faster Z|Normal|https://youtu.be/WP2FzEvKEkI
Faster Z|Hard|https://youtu.be/WP2FzEvKEkI
Faster Z|Crazy|https://youtu.be/Ok7zruVo3Ik
Faster Z|Freestyle|https://youtu.be/1Y8WM2zXxNE
Faster Z|Nightmare|https://youtu.be/Bj7Z6lRSVyE
Faster Z|LightMap|
Feel The Soul|Normal|https://youtu.be/23GxcBZI_BU
Feel The Soul|Hard|https://youtu.be/23GxcBZI_BU
Feel The Soul|Crazy|https://youtu.be/MOb71p1cCuU
Feel The Soul|Freestyle|https://youtu.be/lPJf5_VzKgA
Feel The Soul|Nightmare|https://youtu.be/CAwpiYoTpz0
Feel The Soul|LightMap|
Special Zone / Another|15 Charts|_H
그래서 (So)|Another Normal|
그래서 (So)|Another Hard|https://www.youtube.com/watch?v=Xtit-zv48Cs&ab_channel=TigerYK
그래서 (So)|Another Crazy|https://youtu.be/CVrYk2nAXNI?t=10821
그래서 (So)|Another Freestyle|https://youtu.be/EUXlNyQCaTY
그래서 (So)|Another Nightmare|https://youtu.be/CVrYk2nAXNI?t=10979
미운 오리새끼 (Ugly Dee)|Another Freestyle|https://www.youtube.com/watch?v=HayFinxxEew&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
미운 오리새끼 (Ugly Dee)|Another Nightmare|https://www.youtube.com/watch?v=t0cotYLcaxA&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
미운 오리새끼 (Ugly Dee)|Another LightMap|
불놀이야 (Fire Game)|Another Hard|https://www.youtube.com/watch?v=yrz3YS3tHK4&t=143s&ab_channel=echospherics
불놀이야 (Fire Game)|Another Crazy|https://youtu.be/p06S35bWBxA
불놀이야 (Fire Game)|Another Nightmare|https://youtu.be/zFkpvPPT0I0
A. U Ready?|Another Freestyle|https://www.youtube.com/watch?v=c_M_WSt8TbE&ab_channel=dlon9
A. U Ready?|Another Nightmare|https://www.youtube.com/watch?v=S88ITPCRmCg&t=22s&ab_channel=TigerYK
Come To Me|Another Hard|https://www.youtube.com/watch?v=z85S7kziNyM&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
Come To Me|Another Crazy|https://www.youtube.com/watch?v=z85S7kziNyM&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
Come To Me|Another Nightmare|https://www.youtube.com/watch?v=8tj_Zc396R8&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
Come To Me|Another LightMap|
Hi Bi|Another Nightmare<br>Rune & Ehne|https://www.youtube.com/watch?v=IfJm-Pe_VRo&t=8s&ab_channel=MeChrisLee
Special Zone / Remix|8 Charts|_H
Banya-P Guitar Remix|Crazy|https://www.youtube.com/watch?v=_OyyM5WDMRA&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
Banya-P Guitar Remix|Nightmare|https://www.youtube.com/watch?v=hxHXWe9fO4g&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
Banya-P Guitar Remix|LightMap|
NX2 K-Pop Remix 1|Hard|https://www.youtube.com/watch?v=CLYT4Oiu0Go&ab_channel=darkZURY
NX2 K-Pop Remix 1|Crazy|https://www.youtube.com/watch?v=WjRmJVSMQKA&ab_channel=DanceFitGaming
NX2 K-Pop Remix 1|Freestyle|
NX2 K-Pop Remix 1|Nightmare|https://www.youtube.com/watch?v=rAb3qnJkOZ8
NX2 K-Pop Remix 1|LightMap|
NX2 K-Pop Remix 2|Hard|https://www.youtube.com/watch?v=CTHOgAvLXVo&ab_channel=PumpHungary
NX2 K-Pop Remix 2|Nightmare|https://www.youtube.com/watch?v=MJfWMUMTYjg&ab_channel=Turkeyslam
NX2 K-Pop Remix 2|LightMap|
Training Station|No. 37, 40 (6 Modes)|_H
|No. 40-1|
|No. 40-2|
Pumptris Quattro|No. 40-3|https://www.youtube.com/watch?v=nbz_qer58C8&ab_channel=TigerYK
World Max|151 Missions (by N)|_H
Canon D|Rootinia : First Step|https://youtu.be/F22IvEaoEAk?t=1712
Beethoven Virus|Rootinia : Never Die|https://youtu.be/F22IvEaoEAk?t=1841
Chopstix|Rootinia : Routine 4|https://youtu.be/F22IvEaoEAk?t=5165
영원한 사랑 (Forever Love)|Rootinia : Basic|https://youtu.be/F22IvEaoEAk?t=2244
ZERO K-Hiphop Remix|Rootinia : * Overdeath|https://youtu.be/F22IvEaoEAk?t=4491
Money Fingers|Rootinia : Mon*ey|
X-Treme|Rootinia : Alteration|
Shake It Up|Rootinia : Routine 5|https://youtu.be/F22IvEaoEAk?t=4089
Pumptris Quattro|Rootinia : Quattro|https://youtu.be/F22IvEaoEAk?t=5864
NX2 K-Hiphop Remix|Rootinia : Mix Up 2|https://youtu.be/F22IvEaoEAk?t=2523
Final Audition|Rootinia : 1st Audition|https://youtu.be/F22IvEaoEAk?t=4365
Turkey March|Rootinia : Mirror|https://youtu.be/F22IvEaoEAk?t=4702
Guitar Man|Rootinia : Routine 6|https://youtu.be/F22IvEaoEAk?t=3228
아주 오래된 연인들 (Very Old Couples)|Rootinia : Short Term Memory|
Money Fingers 2|Rootinia : Routine 7|https://youtu.be/F22IvEaoEAk?t=5718
Novasonic Remix|Rootinia : Mix Up 3|https://youtu.be/F22IvEaoEAk?t=4830
Slam|Rootinia : [ Temple ]|https://youtu.be/F22IvEaoEAk?t=5309
미운 오리새끼 (Ugly Dee)|Rootinia : Swan|https://youtu.be/F22IvEaoEAk?t=4223
그대에게 (For You) Fullver.|Rootinia : [ Castle ]|https://www.youtube.com/watch?v=8jqdsw0-pJY&ab_channel=%E3%81%99%E3%83%BC
Beat of The War 2|Rootinia : Nightmare Beat|
Love Is A Danger Zone pt.2|Rootinia : Non-Powerful|
좌절금지 (Stop Frustration)|Shantomia : Routine 8|
Street Show Down|Shantomia : Vanish|
Dance All Night|Shantomia : Dance|
Money|Shantomia : Throwaway|
신기한 노래 (Astral Song)|Shantomia : Astral|
Fly|Shantomia : Light 2|https://youtu.be/-d_Q_fVOC4E?t=682
Bee|Shantomia : Perplexity 3|
Guitar Man Fullver.|Shantomia : BanYa M|https://youtu.be/-d_Q_fVOC4E?t=358
오빠는 풍각쟁이야 (My Brother Is Street Singer)|Shantomia : Here & There|https://youtu.be/-d_Q_fVOC4E?t=550
Money Fingers|Shantomia : Mon*ey 2|https://youtu.be/-d_Q_fVOC4E?t=804
滿醉 in Melody|Shantomia : The Left Foot|
Haley|Shantomia : Sync|
J Bong|Shantomia : Nostalgia|
돌아 (Turn Around)|Shantomia : Turn|https://youtu.be/-d_Q_fVOC4E?t=221
 Freestyle |Shantomia : Freestyle|https://youtu.be/-d_Q_fVOC4E?t=14
Bemera|Shantomia : Non-Powerful 2|https://youtu.be/-d_Q_fVOC4E?t=1422
Dance Vibrations|Shantomia : Dance 2|https://youtu.be/-d_Q_fVOC4E?t=1227
Final Audition 2|Shantomia : 2nd Audition|https://youtu.be/-d_Q_fVOC4E?t=1625
Jump|Shantomia : Nostalgia 2|
Energizer|Shantomia : Thrill|
Higgledy Piggledy|Shantomia : Swan 2|https://youtu.be/-d_Q_fVOC4E?t=1105 
Le Code De Bonne Conduite|Shantomia : SG|
Lexy 1Tym Remix|Shantomia : Mix Up 4|
Deux Remix|Shantomia : Fork of a Road|https://youtu.be/vACpVUdHg0s?t=10 
Enter The Dragon|Shantomia : Aqua Blue|
내게 남은 사랑을 다 줄께 (I'll Give You All My Love) Fullver.|Shantomia : * J. K. D.|
소방관 아저씨 (Mr. Fire Fighter)|Shantomia : Suddenly Appear 2|
Essa Maneira|Shantomia : Fork of a Road 2|
Funky Tonight|Shantomia : Ghost 2|
Jam O Beat|Shantomia : B-O-Beat|
흐린 기억속의 그대 (U Inside My Dim Memory) Fullver.|Shantomia : [ Castle 2 ]|
Pro Pop Remix|Phantomia : Perplexity 5|https://youtu.be/7Vja76Xf-T8
BanYa Hiphop Remix|Phantomia : Perplexity 6|
후회 (Compunction)|Phantomia : +500|https://youtu.be/gzLBxSZKYlE
폭풍 (Typhoon) Fullver.|Phantomia : Suddenly Appear 3|
Beat # No.4|Phantomia : Invisible Beat|
Com' Back|Phantomia : Routine 9|
햇살 좋은 날 (Shiny Day)|Phantomia : Random Access|
Moonlight|Phantomia : MX Style|
Phantom|Phantomia : Non-Powerful 3|
Beethoven Virus|Phantomia : Routine 10|
내맘이야 (It's My Business)|Phantomia : [ Necropolis ]|
소방관 아저씨 (Mr. Fire Fighter) Fullver.|Mirtain : Fire Fighting|https://youtu.be/qOwat9H4PJM
증오 (Hatred)|Mirtain : Magma|
가 (Go)|Mirtain : Memorial Service|
HOT뜨거 (HOT)|Mirtain : Bomb Beat|
Witch Doctor|Mirtain : Hot Trill|https://www.youtube.com/watch?v=L3YxODngmso&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
종점 보관소 (Terminal Depository)|Mirtain : BxB|
투우사의 노래 (Bullfighter's Song)|Mirtain : Bullfighter S|
애송이 (Greenhorn)|Mirtain : Dead End|https://www.youtube.com/watch?v=kKz6IPB4M6s&ab_channel=%E3%81%99%E3%83%BC
Get Up!|Mirtain : Set the Alarm|
Dr. M|Mirtain : The Left Foot 2|
Mr. Larpus|Mirtain : Born of Earth|https://www.youtube.com/watch?v=8Kqdk_SdwLU&ab_channel=SebValentine
A. U Ready? Fullver.|Mirtain : A.U.NE?|
아주 오래된 연인들 (Very Old Couples) Fullver.|Mirtain : Heart's Gone|
Final Audition 3, Chimera|Mirtain : * Yahpp|https://www.youtube.com/watch?v=26XkqBH2LHM&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
불놀이야 (Fire Game)|Mirtain : Meteor|
종점 보관소 (Terminal Depository)|Mirtain : Life G|
햇살 좋은 날 (Shiny Day)|Mirtain : Sunlight|
소용돌이 (A Maelstrom)|Mirtain : Armageddon|
넌 내게 반했어 (You Fall in Me) Fullver.|Mirtain : * Ehwa|
무혼(武魂) 2 (Solitary 2)|Mirtain : [ Mir ]|
Turkey March|Mirtain : Magma 2|
서커스 매직 유랑단 (Circus Magic)|Mirtain : Life G 2|
빨개송! (Red Song!)|Mirtain : Red!|https://www.youtube.com/watch?v=Nw0sXDA4LqE&ab_channel=MoreFlesh
Bust Back|Barharn : Preservation|
소용돌이 (A Maelstrom)|Barharn : [ Whirlpool ]|
Caprice of Otada|Barharn : Union|
자책 (Mistake)|Barharn : Remake 4 W|
Blazing|Barharn : Blaze It Up|
Mr. Larpus|Barharn : Fohn|
Fly Fullver.|Barharn : * Ahgoo|https://www.youtube.com/watch?v=xtPtnRbviFg&t=9s&ab_channel=KONSENT0
Mr. Larpus|Barharn : Velocity 5|
폭풍의 언덕 (Wuthering Heights)|Barharn : Born of Earth 2|
Canon D Fullmix|Barharn : [ D ]|
지나가던 꽃미남 캐릭터다 (Handsome Character That Pass)|Harena : Perfect Finish|
고백 (Go Back)|Harena : N Desert|
WI-EX-DOC-VA|Harena : Born of Earth 3|
Witch Doctor|Harena : Non-Powerful 6|
HOT뜨거 (HOT)|Harena : Mine Removing 2|
??? (Pumptris Quattro 8bit ver., Canon D, Yasangma Mix.) |Harena : * Yasangma|https://www.youtube.com/watch?v=j5Nznepy1dc&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
긴급 상황 (Emergency!)|Harena : * Bomb|https://www.youtube.com/watch?v=VHwsTqzb72Y&ab_channel=MoreFlesh
Beat # No.4 Fullver.|Harena : [ Pyramid ]|https://youtu.be/I2mRIRgnIgg
Extravaganza|Harena : Adversity|
Street Show Down|Harena : Floodtide|
또다른 진심 (Another Truth)|Harena : Adversity 2|
Final Audition|Harena : Tidal Wave|
Final Audition 3|Harena : 3rd Audition|
Chopstix|Harena : Avoid|
